Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037101110,Los Angeles,4314,58.32,1.09,31.5,7.63,0.09,0.09,16.14,Yes,SCAG,No,02. 60-80%,0.4410839,9780.45,60 to 70,0,9.57,86.82,30.46,50 to 60,31,7.71,29.66,13.24,48.06,2.52,51.94,67.41,0,21.79,70 to 80,40 to 50,43.41,40 to 50,80 to 90,20 to 30,2,50 to 60,33.85,50 to 60,80 to 90,10.81,4,70 to 80,3951.63,50 to 60,1237.86,40 to 50,Non-Hispanic White,50 to 60,79.2,53077,80 to 90,10 to 20,70 to 80,60 to 70,No,1743,1596,1.77,13.66,60 to 70,,
6037101122,Los Angeles,3239,85.06,1.88,4.41,6.36,0,0.4,3.37,No,SCAG,No,03. 80-140%,1.020872,3172.78,20 to 30,0,7.14,89.69,26.36,40 to 50,16.97,0.56,0,6.77,81.69,0,18.31,100,0.6,11.01,60 to 70,0 to 10,35.97,30 to 40,80 to 90,90 to 100,0,70 to 80,41.48,70 to 80,60 to 70,8.87,0,30 to 40,1362.56,10 to 20,236.07,40 to 50,Non-Hispanic White,30 to 40,80,88953,80 to 90,0 to 10,80 to 90,80 to 90,No,1391,1256,2.13,5.5,0 to 10,,
6037101210,Los Angeles,6052,49.42,2.84,42.7,4.3,0,0,33,Yes,SCAG,No,01. 0-60%,0.2512328,24089.21,90 to 100,0,7.88,83.9,29.69,20 to 30,42.82,12.37,80.72,10.56,14.52,3.04,85.48,19.28,3.42,41.69,70 to 80,80 to 90,43.41,40 to 50,80 to 90,50 to 60,1,50 to 60,28.12,20 to 30,80 to 90,10.81,6,90 to 100,9560.85,80 to 90,4079.88,40 to 50,Non-Hispanic White,10 to 20,82.5,32119,60 to 70,20 to 30,70 to 80,60 to 70,No,2402,2321,1.35,13.67,60 to 70,,
6037101220,Los Angeles,3497,48.44,2.03,37.6,8.64,0,0,14.98,Yes,SCAG,No,02. 60-80%,0.2698414,12959.46,80 to 90,0,8.69,85.88,26.62,40 to 50,38.39,8.73,45.11,10.35,36.4,3.82,63.6,54.89,0,29.94,70 to 80,70 to 80,43.41,40 to 50,80 to 90,40 to 50,2,60 to 70,29.6,40 to 50,80 to 90,10.81,7,80 to 90,4921.41,50 to 60,1626.88,50 to 60,Non-Hispanic White,40 to 50,78.5,41728,70 to 80,10 to 20,80 to 90,70 to 80,No,1328,1294,1.68,14.21,70 to 80,,
6037101300,Los Angeles,4297,81.52,3.75,6.61,6.73,0,0,9.2,No,SCAG,No,03. 80-140%,0.9966123,4311.61,30 to 40,0,7.24,88.11,19.04,20 to 30,23.62,4.6,2.71,7.36,88.36,4.65,11.64,96.84,0,12.96,70 to 80,50 to 60,33.52,30 to 40,80 to 90,80 to 90,3,50 to 60,35.65,60 to 70,50 to 60,8.16,6,30 to 40,1589.38,40 to 50,893.03,50 to 60,Non-Hispanic White,30 to 40,80,86914,90 to 100,0 to 10,70 to 80,70 to 80,No,1584,1435,2.25,14.33,70 to 80,,
6037101400,Los Angeles,3851,65.67,0.47,19.32,9.04,0,1.12,8.36,Yes,SCAG,No,03. 80-140%,2.436326,1580.66,10 to 20,0,14,79.88,28.36,50 to 60,22.36,8.21,12.95,5.38,71.22,3,28.78,86.25,1.82,18.41,70 to 80,40 to 50,31.22,20 to 30,80 to 90,80 to 90,3,50 to 60,34.56,50 to 60,30 to 40,7.15,5,20 to 30,662.47,20 to 30,371.46,50 to 60,Non-Hispanic White,20 to 30,81.4,71125,0 to 10,10 to 20,80 to 90,70 to 80,No,1614,1473,1.88,11.01,40 to 50,,
6037102103,Los Angeles,1771,65.16,0,26.54,6.38,0,0,8.81,No,SCAG,No,03. 80-140%,0.458104,3865.93,30 to 40,0,9.75,87.77,30.93,10 to 20,22.82,1.15,20.52,9.71,65.66,0,34.34,79.48,0,13.38,70 to 80,50 to 60,77.04,80 to 90,90 to 100,90 to 100,8,40 to 50,27.3,40 to 50,50 to 60,8.41,2,30 to 40,1584.79,20 to 30,305.61,70 to 80,Non-Hispanic White,10 to 20,82.9,76333,70 to 80,20 to 30,70 to 80,70 to 80,No,726,696,1.96,11,40 to 50,,
6037102104,Los Angeles,3554,66.8,3.29,16.18,12.46,0.23,0.08,12.71,No,SCAG,No,03. 80-140%,0.6403674,5549.94,40 to 50,0.63,10.18,79.16,32.21,0 to 10,28.11,6.54,20.3,5.57,70.47,4.07,29.53,79.26,5.47,25.86,70 to 80,40 to 50,38.17,30 to 40,80 to 90,90 to 100,6,20 to 30,30.08,40 to 50,10 to 20,5.42,4,40 to 50,2100.36,50 to 60,1600.64,70 to 80,Non-Hispanic White,20 to 30,85.4,70754,80 to 90,0 to 10,90 to 100,80 to 90,No,1345,1270,1.92,13.16,50 to 60,,
6037102105,Los Angeles,1857,20.46,2.21,67.96,6.3,0.65,0.7,17.34,Yes,SCAG,No,02. 60-80%,0.1902561,9760.53,60 to 70,0,4.75,81.88,24.6,50 to 60,36.98,1.42,33.28,9.75,47.96,0.87,52.04,65.87,6.3,23.37,80 to 90,40 to 50,31.99,20 to 30,80 to 90,60 to 70,7,20 to 30,25.02,60 to 70,0 to 10,4.22,9,60 to 70,3095.83,50 to 60,1245.69,70 to 80,Hispanic,40 to 50,78.7,52132,80 to 90,30 to 40,50 to 60,40 to 50,No,589,563,2.07,12.18,50 to 60,,
6037102107,Los Angeles,4333,60.1,2.56,26.96,9.12,0,0.14,7.88,No,SCAG,No,03. 80-140%,4.984022,869.38,10 to 20,0,12.65,86.65,18.11,60 to 70,18.5,3.91,7.84,1.35,74.33,0,25.67,92.16,0,22.97,70 to 80,40 to 50,47.76,50 to 60,80 to 90,80 to 90,9,50 to 60,31.23,60 to 70,30 to 40,6.52,2,10 to 20,271.27,10 to 20,218.7,70 to 80,Non-Hispanic White,50 to 60,79.6,106037,80 to 90,90 to 100,80 to 90,70 to 80,No,1352,1305,2.31,12.2,50 to 60,,
6037103101,Los Angeles,2597,67.85,0.5,24.53,6.58,0,0.46,7.05,No,SCAG,No,03. 80-140%,0.7837125,3313.72,20 to 30,0,13.16,85.04,16.06,50 to 60,26.47,1.09,0,3.97,85.26,0,14.74,100,0,10.51,60 to 70,20 to 30,40.3,40 to 50,80 to 90,80 to 90,0,70 to 80,36.23,70 to 80,60 to 70,9.55,0,30 to 40,1245.35,10 to 20,256.47,30 to 40,Non-Hispanic White,20 to 30,80.7,89211,50 to 60,50 to 60,70 to 80,70 to 80,No,976,916,2.26,7.59,20 to 30,,
6037103102,Los Angeles,4456,57.65,0,22.89,16.9,0,0.16,5.51,No,SCAG,No,03. 80-140%,0.479164,9299.53,60 to 70,0,16.25,79.68,29.4,30 to 40,19.28,4.4,7.06,10.28,78.64,2.95,21.36,92.94,0.69,14.34,70 to 80,60 to 70,41.09,40 to 50,80 to 90,50 to 60,2,60 to 70,35.66,60 to 70,70 to 80,9.68,5,70 to 80,3547.85,60 to 70,2099.49,40 to 50,Non-Hispanic White,30 to 40,80.6,74631,20 to 30,10 to 20,60 to 70,60 to 70,No,1700,1568,2.05,14.27,70 to 80,,
6037103200,Los Angeles,6726,54.4,1.29,35.21,6.32,0,0,15.09,Yes,SCAG,No,03. 80-140%,2.862792,2349.45,20 to 30,0,13.44,83.04,27.38,50 to 60,16.41,6.29,19.41,7.32,63.41,0,36.59,72.92,3.52,16.17,70 to 80,30 to 40,52.87,60 to 70,80 to 90,90 to 100,6,60 to 70,33.5,50 to 60,70 to 80,10.52,5,20 to 30,820.53,20 to 30,343.02,40 to 50,Non-Hispanic White,50 to 60,81.5,71346,0 to 10,50 to 60,70 to 80,70 to 80,No,2349,2274,1.89,13.34,60 to 70,,
6037103300,Los Angeles,3549,73.49,1.18,14.09,8.71,0,0.25,4.87,No,SCAG,No,04. 140%+,2.371422,1496.57,10 to 20,0,16.42,81.19,16.13,80 to 90,22.69,2.12,0.5,4.59,84.65,1.94,15.35,99.5,0,3.63,70 to 80,20 to 30,49.5,50 to 60,80 to 90,90 to 100,9,40 to 50,34.95,80 to 90,80 to 90,10.81,0,10 to 20,588.68,20 to 30,333.13,70 to 80,Non-Hispanic White,30 to 40,81,93207,20 to 30,20 to 30,80 to 90,80 to 90,No,1396,1225,2.6,6.49,10 to 20,,
6037103400,Los Angeles,6662,56.21,2.25,23.37,12.97,2.52,1.56,14.02,Yes,SCAG,No,03. 80-140%,0.9655462,6899.72,50 to 60,0,9.52,88.53,21.7,50 to 60,17.01,3.37,18.95,4.99,62.29,1.95,37.71,76.98,0,10.56,70 to 80,40 to 50,43.73,40 to 50,80 to 90,70 to 80,2,60 to 70,29.49,70 to 80,70 to 80,10.22,6,50 to 60,2596.46,30 to 40,716.69,30 to 40,Non-Hispanic White,40 to 50,79.6,81618,50 to 60,70 to 80,60 to 70,60 to 70,No,2507,2432,2.14,14.01,60 to 70,,
6037104103,Los Angeles,3647,10.26,13.76,68.14,7.27,0.22,0.55,7.69,Yes,SCAG,Yes,03. 80-140%,0.3664531,9952.16,70 to 80,0,17.03,79.53,18.63,30 to 40,26.44,2.37,0,6.57,83.43,2.27,16.57,99.09,0.49,18.98,60 to 70,10 to 20,64.44,70 to 80,80 to 90,20 to 30,0,70 to 80,28.47,90 to 100,50 to 60,8.17,6,50 to 60,2393.21,60 to 70,1765.57,40 to 50,Hispanic,60 to 70,83.9,86989,70 to 80,30 to 40,40 to 50,40 to 50,Yes,877,845,2.58,13.74,60 to 70,,
6037104105,Los Angeles,6190,7.11,4.96,74.02,9.82,0,0.52,22.65,Yes,SCAG,No,02. 60-80%,0.2257532,27419.32,90 to 100,0.41,12.94,69.22,25.86,50 to 60,24.02,9.26,45.17,14.75,56.19,12.17,43.81,49.97,1.54,35.22,70 to 80,60 to 70,68.59,70 to 80,80 to 90,20 to 30,3,40 to 50,31.86,50 to 60,40 to 50,7.21,9,90 to 100,7481.62,80 to 90,5160.5,50 to 60,Hispanic,50 to 60,75.9,52616,50 to 60,80 to 90,30 to 40,30 to 40,Yes,1689,1673,1.73,14.85,70 to 80,,
6037104108,Los Angeles,5420,6.61,9.52,80.09,3.17,0.24,0,15.79,Yes,SCAG,Yes,02. 60-80%,0.4234108,12800.81,80 to 90,0,16.6,73.03,36.39,70 to 80,19.27,14.29,48.97,7.56,43.14,6.65,56.86,44.15,1.61,28.12,70 to 80,60 to 70,54.52,60 to 70,80 to 90,80 to 90,4,60 to 70,32.97,50 to 60,20 to 30,6.04,7,70 to 80,3429.29,40 to 50,1128.93,40 to 50,Hispanic,70 to 80,81,50259,40 to 50,70 to 80,20 to 30,20 to 30,Yes,1452,1421,1.89,13.68,60 to 70,,
6037104124,Los Angeles,4189,27.74,9.21,51.99,8.43,0,0.5,8.18,No,SCAG,No,03. 80-140%,1.7295,2422.09,20 to 30,1.55,13.41,71.81,22.38,60 to 70,15.4,1.9,9.74,11.13,82.94,9.67,17.06,89.06,2.93,17.38,60 to 70,10 to 20,64.44,70 to 80,80 to 90,80 to 90,0,70 to 80,37.22,70 to 80,50 to 60,8.17,6,20 to 30,771.9,10 to 20,163.63,30 to 40,Hispanic,70 to 80,79.2,84250,50 to 60,90 to 100,50 to 60,50 to 60,Yes,1335,1260,2.02,6.57,10 to 20,,
6037104201,Los Angeles,4424,1.24,9.56,89.44,0,0,0.79,24.66,Yes,SCAG,No,02. 60-80%,0.4208911,10511.03,70 to 80,0,11.01,76.87,21.82,80 to 90,37.18,2.94,0.33,17.52,66.16,6.82,33.84,99.13,4.3,30.81,70 to 80,70 to 80,51.26,50 to 60,80 to 90,10 to 20,1,50 to 60,32.73,90 to 100,10 to 20,4.77,0,40 to 50,2183.46,50 to 60,1363.77,50 to 60,Hispanic,70 to 80,84.3,51563,90 to 100,30 to 40,10 to 20,10 to 20,No,919,919,2.54,12.8,50 to 60,,
6037104203,Los Angeles,5541,1.57,8.14,89.15,0.94,0,0.69,25.1,Yes,SCAG,Yes,02. 60-80%,0.2733499,20270.72,90 to 100,0.9,20.42,65.34,31.43,70 to 80,31.34,11.62,28.34,16.46,45.94,5.15,54.06,71.66,3.95,43.15,70 to 80,80 to 90,71.02,70 to 80,80 to 90,10 to 20,3,40 to 50,32.57,80 to 90,40 to 50,7.44,5,70 to 80,4247.3,60 to 70,1938.91,50 to 60,Hispanic,80 to 90,82.1,46406,70 to 80,60 to 70,20 to 30,20 to 30,No,1161,1145,2.46,14.67,70 to 80,,
6037104204,Los Angeles,3562,10.53,4.63,77.32,5.81,0,0.34,15.56,Yes,SCAG,Yes,02. 60-80%,1.028774,3462.37,30 to 40,1.09,16.33,72.64,28.81,50 to 60,23.73,6.3,16.47,11.84,64.52,2.69,35.48,52.79,3.85,38.43,70 to 80,40 to 50,45.02,40 to 50,80 to 90,70 to 80,1,60 to 70,32.76,80 to 90,10 to 20,5.38,5,20 to 30,749.44,40 to 50,1008,50 to 60,Hispanic,50 to 60,73.6,63333,70 to 80,10 to 20,50 to 60,40 to 50,No,771,730,2.37,11.7,40 to 50,,
6037104310,Los Angeles,5313,1.19,2.15,95.43,0.28,0,0.36,12.79,Yes,SCAG,Yes,03. 80-140%,0.5824826,9121.3,60 to 70,0.58,20.46,69.06,18.84,90 to 100,27.75,5.92,0.56,19.18,71.9,2.48,28.1,96.43,4.7,38.42,60 to 70,70 to 80,57.29,60 to 70,80 to 90,40 to 50,2,60 to 70,28.65,90 to 100,10 to 20,5.21,3,30 to 40,1539.96,80 to 90,3941.75,50 to 60,Hispanic,80 to 90,77.4,69904,40 to 50,10 to 20,0 to 10,0 to 10,Yes,897,879,2.82,13.01,50 to 60,,
6037104320,Los Angeles,5599,2.64,3.7,91.12,1.13,0,0,23.77,Yes,SCAG,Yes,02. 60-80%,0.4680211,11963.14,70 to 80,0.95,8.13,80.72,26.26,80 to 90,26.26,12.82,19.84,15.59,42.46,4.17,57.54,77.64,2.07,31.51,70 to 80,80 to 90,73.79,80 to 90,80 to 90,10 to 20,5,60 to 70,28.3,60 to 70,40 to 50,7.7,7,60 to 70,2875.94,60 to 70,2254.17,50 to 60,Hispanic,70 to 80,79.7,52895,20 to 30,70 to 80,10 to 20,0 to 10,Yes,1346,1326,2.04,14.72,70 to 80,,
6037104401,Los Angeles,3452,1.77,0,97.42,0.81,1.8,0,19.85,Yes,SCAG,Yes,03. 80-140%,0.2629808,13126.43,80 to 90,1.13,7.67,76.73,19.01,80 to 90,24.53,8.56,1.68,18.08,62.41,6.73,37.59,98.32,0.33,29.75,70 to 80,70 to 80,73.79,80 to 90,80 to 90,40 to 50,3,50 to 60,28.28,90 to 100,40 to 50,7.7,7,60 to 70,2711.22,40 to 50,874.59,50 to 60,Hispanic,70 to 80,79.1,69965,80 to 90,30 to 40,0 to 10,0 to 10,Yes,713,689,2.51,13.59,60 to 70,,
6037104403,Los Angeles,3279,0.46,0,96.65,2.9,0,0.73,20.04,Yes,SCAG,Yes,03. 80-140%,0.2676009,12253.32,70 to 80,0,13.06,73.52,22.55,80 to 90,30.06,8.87,0.42,14.33,68.27,4.6,31.73,99.58,0,24.86,70 to 80,80 to 90,73.79,80 to 90,80 to 90,20 to 30,1,30 to 40,26.67,80 to 90,40 to 50,7.7,8,50 to 60,2668.15,50 to 60,1363.97,40 to 50,Hispanic,90 to 100,80.5,55398,0 to 10,80 to 90,10 to 20,10 to 20,Yes,714,665,2.52,14.21,70 to 80,,
6037104404,Los Angeles,3128,1.34,4.22,91.94,1.95,0,0.35,26.12,Yes,SCAG,Yes,03. 80-140%,0.2083485,15013.31,80 to 90,0,12.59,77.51,25.7,80 to 90,31,4.86,22.77,16.56,46.5,4.91,53.5,75.65,2.21,45.43,70 to 80,90 to 100,73.79,80 to 90,80 to 90,0 to 10,5,50 to 60,27.09,80 to 90,40 to 50,7.7,8,70 to 80,3330.96,60 to 70,1881.46,50 to 60,Hispanic,70 to 80,78.9,55341,30 to 40,80 to 90,10 to 20,0 to 10,Yes,694,658,2.35,17.25,90 to 100,,
6037104500,Los Angeles,2950,1.56,0,98.14,0.17,0,0.34,23.14,Yes,SCAG,No,03. 80-140%,0.205021,14388.77,80 to 90,0,9.87,82.72,20.3,80 to 90,27.45,3.77,2.59,12,74.92,3.71,25.08,97.41,1.4,34,70 to 80,80 to 90,73.79,80 to 90,80 to 90,0 to 10,1,50 to 60,23.96,90 to 100,40 to 50,7.7,8,60 to 70,3204.55,50 to 60,1224.26,40 to 50,Hispanic,80 to 90,81.3,60139,10 to 20,30 to 40,10 to 20,10 to 20,Yes,657,610,2.65,15.22,80 to 90,,
6037104610,Los Angeles,3504,1.88,0,97.46,0,0,0.34,16.86,Yes,SCAG,Yes,03. 80-140%,0.2286258,15326.35,80 to 90,0,17.89,66.23,25.97,70 to 80,31.11,1.92,8.6,17.38,61.59,8.91,38.41,90.61,3.51,30.57,70 to 80,90 to 100,73.79,80 to 90,80 to 90,20 to 30,5,50 to 60,28.91,90 to 100,40 to 50,7.7,9,70 to 80,3306.71,40 to 50,1080.37,40 to 50,Hispanic,90 to 100,78.7,60320,10 to 20,60 to 70,0 to 10,0 to 10,Yes,756,729,2.48,12.94,50 to 60,,
6037104620,Los Angeles,3684,1.66,0.71,97.91,0.43,0,0.41,9.31,Yes,SCAG,No,03. 80-140%,0.2050863,17963.17,80 to 90,0.84,14.05,70.83,22.99,90 to 100,24.3,2.25,0.41,13,58.23,5.88,41.77,98.9,2.4,34.07,70 to 80,60 to 70,73.79,80 to 90,80 to 90,0 to 10,1,50 to 60,24.67,80 to 90,40 to 50,7.7,4,70 to 80,3549.73,40 to 50,931.32,40 to 50,Hispanic,70 to 80,81.2,62014,60 to 70,80 to 90,10 to 20,0 to 10,Yes,728,711,2.67,12.94,50 to 60,,
6037104701,Los Angeles,4325,1.04,3.88,95.54,0,0,0,33.53,Yes,SCAG,Yes,01. 0-60%,0.2125508,20348.08,90 to 100,0,17.73,62.26,29.3,90 to 100,36.32,11.59,56.34,10.91,23.18,8.46,76.82,43.66,3.69,61.04,70 to 80,90 to 100,73.79,80 to 90,80 to 90,30 to 40,6,40 to 50,29.8,30 to 40,40 to 50,7.7,9,80 to 90,4525.98,60 to 70,1844.26,50 to 60,Hispanic,80 to 90,80.3,32036,60 to 70,30 to 40,10 to 20,20 to 30,Yes,962,949,1.63,11.51,40 to 50,,
6037104703,Los Angeles,2311,3.42,5.93,90.87,0,0,2.73,31.2,Yes,SCAG,Yes,02. 60-80%,0.4512013,5121.88,40 to 50,1.94,20.67,64.8,22.43,80 to 90,30.69,3.15,46.71,14.02,36.15,0.65,63.85,36.45,1.08,57.85,70 to 80,70 to 80,73.67,80 to 90,80 to 90,80 to 90,9,50 to 60,23.95,70 to 80,40 to 50,7.69,8,30 to 40,1447.25,80 to 90,5833.32,50 to 60,Hispanic,60 to 70,77.5,39181,80 to 90,60 to 70,10 to 20,0 to 10,Yes,653,603,2.1,11.97,50 to 60,,
6037104704,Los Angeles,4331,4.36,13.81,73.66,7.76,0,0,25.21,Yes,SCAG,Yes,03. 80-140%,0.6419566,6746.56,50 to 60,0.89,5.79,84.71,23.99,30 to 40,20.93,0.51,24.57,11.75,62.47,0.94,37.53,45.78,2.66,39.25,70 to 80,80 to 90,73.79,80 to 90,80 to 90,80 to 90,7,60 to 70,32.85,80 to 90,40 to 50,7.7,6,40 to 50,1902,50 to 60,1213.48,40 to 50,Hispanic,70 to 80,78.1,48581,10 to 20,10 to 20,30 to 40,30 to 40,Yes,1221,1183,2.21,12.17,50 to 60,,
6037104810,Los Angeles,5789,2.97,0.16,95.37,1.07,0,0.54,14.93,Yes,SCAG,Yes,03. 80-140%,0.4337321,13346.95,80 to 90,0,11.88,80.51,28.18,80 to 90,21.96,3.25,4.29,17.95,72.4,5.79,27.6,95.71,1.82,36.12,70 to 80,60 to 70,73.79,80 to 90,80 to 90,0 to 10,4,50 to 60,27.46,90 to 100,40 to 50,7.7,8,50 to 60,2524.6,50 to 60,1565.48,40 to 50,Hispanic,70 to 80,78.7,74145,40 to 50,40 to 50,20 to 30,10 to 20,Yes,1095,1076,2.81,13.4,60 to 70,,
6037104821,Los Angeles,3361,3.81,1.87,89.32,4.49,0,0.8,20.23,Yes,SCAG,Yes,03. 80-140%,0.2053299,16368.78,80 to 90,0,13.67,74.92,21.16,70 to 80,19.5,2.27,30.85,16.39,57.47,6.3,42.53,69.15,0.95,31.57,70 to 80,80 to 90,73.79,80 to 90,80 to 90,0 to 10,1,40 to 50,26.99,80 to 90,40 to 50,7.7,8,70 to 80,3789.02,50 to 60,1631.52,40 to 50,Hispanic,80 to 90,77.7,68750,0 to 10,80 to 90,30 to 40,20 to 30,Yes,778,750,2.38,15.22,80 to 90,,
6037104822,Los Angeles,2748,2.87,1.24,91.16,4.51,0,1.78,20.64,Yes,SCAG,Yes,02. 60-80%,0.2333416,11776.73,70 to 80,0,13.68,71.42,25.34,70 to 80,28.38,10,51.81,17.79,36.39,5.7,63.61,48.19,5.54,39.16,70 to 80,90 to 100,73.79,80 to 90,80 to 90,0 to 10,1,30 to 40,26.6,50 to 60,40 to 50,7.7,7,60 to 70,2729.9,80 to 90,3621.3,40 to 50,Hispanic,70 to 80,,55500,0 to 10,90 to 100,30 to 40,20 to 30,Yes,637,610,1.95,14.17,70 to 80,,
6037106010,Los Angeles,3108,16.63,2.67,74.94,3.8,0,0.64,16.98,No,SCAG,No,03. 80-140%,0.9721308,3197.1,20 to 30,0,20.6,75.51,22.32,40 to 50,28.11,3.17,9.05,11.39,73.02,1.2,26.98,89.11,0.52,16.41,60 to 70,10 to 20,64.44,70 to 80,80 to 90,90 to 100,3,70 to 80,28.81,90 to 100,50 to 60,8.17,4,20 to 30,1011.18,20 to 30,477.3,70 to 80,Hispanic,70 to 80,79,71806,80 to 90,20 to 30,60 to 70,50 to 60,No,983,945,2.33,11.83,40 to 50,,
6037106020,Los Angeles,5807,17.22,1.14,80.35,0.76,0,0.15,13.63,Yes,SCAG,No,03. 80-140%,0.7763603,7479.77,50 to 60,0,10.82,83.15,20.94,50 to 60,24.9,2.37,1.4,16.45,82.37,5.27,17.63,98.6,0.76,18.53,60 to 70,20 to 30,64.44,70 to 80,80 to 90,90 to 100,1,70 to 80,33.96,90 to 100,50 to 60,8.17,5,40 to 50,1929.52,20 to 30,289.81,70 to 80,Hispanic,70 to 80,81.7,75038,10 to 20,10 to 20,40 to 50,40 to 50,No,1498,1475,2.76,11.43,40 to 50,,
6037106111,Los Angeles,4482,24.99,5.11,59.55,9.01,0,2.52,7.65,No,SCAG,No,03. 80-140%,1.472426,3043.96,20 to 30,0,10.7,86.69,25.29,40 to 50,18.22,2.79,0.42,7.56,88.08,2.61,11.92,80.66,0,16.85,50 to 60,10 to 20,64.44,70 to 80,80 to 90,90 to 100,1,80 to 90,34.93,90 to 100,50 to 60,8.17,0,20 to 30,962.36,20 to 30,416.32,70 to 80,Hispanic,50 to 60,79.5,93198,10 to 20,50 to 60,50 to 60,50 to 60,No,1417,1326,2.49,11.63,40 to 50,,
6037106112,Los Angeles,5885,17.57,1.55,71.25,7.43,0.27,4.52,6.89,No,SCAG,No,03. 80-140%,1.244312,4729.52,30 to 40,0,10.78,85.52,23.46,40 to 50,20.21,1.83,0.65,5.67,86.21,3.03,13.79,99.35,0,11.1,60 to 70,40 to 50,63.87,70 to 80,80 to 90,80 to 90,1,80 to 90,32.57,90 to 100,50 to 60,8.09,7,20 to 30,1230.4,70 to 80,2701.09,70 to 80,Hispanic,70 to 80,78.2,90875,60 to 70,30 to 40,50 to 60,40 to 50,No,1531,1472,2.58,11.42,40 to 50,,
6037106113,Los Angeles,3962,14.03,4.87,74.1,9.14,0,0,4.94,Yes,SCAG,No,03. 80-140%,0.5573242,7108.97,50 to 60,0,12.41,80.64,20.58,50 to 60,17.05,1.03,5.5,10.59,81.48,2.08,18.52,94.5,1.84,21.2,60 to 70,60 to 70,64.44,70 to 80,80 to 90,10 to 20,0,60 to 70,32.54,90 to 100,50 to 60,8.17,4,40 to 50,1892.97,50 to 60,1343.92,60 to 70,Hispanic,70 to 80,80.4,85156,80 to 90,80 to 90,40 to 50,40 to 50,No,1055,972,2.38,15.94,90 to 100,,
6037106114,Los Angeles,6410,5.94,4.52,85.6,4.04,0,1.11,16.71,Yes,SCAG,No,02. 60-80%,0.3906547,16408.35,80 to 90,0,19,77.17,27.97,40 to 50,28.61,5.34,53.66,11.33,44.22,0.32,55.78,46.34,1.17,38.8,60 to 70,80 to 90,43.35,40 to 50,80 to 90,0 to 10,1,70 to 80,29.81,70 to 80,0 to 10,4.03,8,70 to 80,4231.36,60 to 70,2058.08,60 to 70,Hispanic,60 to 70,78.1,54363,40 to 50,70 to 80,30 to 40,20 to 30,No,1653,1592,1.98,15.52,80 to 90,,
6037106403,Los Angeles,3431,9.59,0.5,89.54,0.38,0,1.02,5.08,Yes,SCAG,No,03. 80-140%,0.4268916,8037.17,50 to 60,0,13.08,85.31,32.46,70 to 80,27.49,2.47,0,12.42,85.17,0.47,14.83,100,1.13,29.7,60 to 70,80 to 90,56.71,60 to 70,80 to 90,20 to 30,3,70 to 80,28.02,90 to 100,30 to 40,6.94,8,40 to 50,2110.61,30 to 40,702.75,70 to 80,Hispanic,70 to 80,79.9,62015,0 to 10,10 to 20,20 to 30,10 to 20,No,901,809,2.64,14.49,70 to 80,,
6037106405,Los Angeles,4813,20.69,5.78,70.83,1.7,0,0,31.54,Yes,SCAG,No,03. 80-140%,0.4524091,10638.6,70 to 80,0,13.52,81.25,28.2,50 to 60,25.07,2.53,28.9,8.23,39.43,3.13,60.57,71.1,0.87,29.25,60 to 70,60 to 70,64.44,70 to 80,80 to 90,40 to 50,2,70 to 80,28.89,80 to 90,50 to 60,8.17,6,60 to 70,2707.73,40 to 50,1014.57,80 to 90,Hispanic,60 to 70,78.5,57807,60 to 70,0 to 10,40 to 50,30 to 40,No,1225,1225,2.08,12.03,50 to 60,,
