Census Tract FIPS Code,County,Total Population,% Non-Hispanic White,% Black,% Hispanic,% Asian,% Native Hawaiian & Other Pacific Islander,% American Indian & Alaskan Native,% Poverty,AB 1550 Low-Income Communities,Metropolitan Planning Organization,SB 535 Disadvantaged Communities,Area Median Income (Regionally Adjusted),Land Area (sqmi),Population Density (sqmi),Population Density (Percentile),% Bike for Job Commute,% Carpooled for Job Commute,% Drove Alone for Job Commute,% Households Paying 30-49% of Income Towards Housing Costs,Clunker Vehicles (Percentile),% Households Paying 50% or More of Income Towards Housing Costs,% Households with No Vehicle,% Multi-Family Housing Units,% No Health Insurance,% Owner-Occupied Households,% Public Transportation for Job Commute,% Renter-Occupied Households,% Single-Family Housing Units,% Walk for Job Commute,% with Medicaid Health Insurance Only,Accessibility to Employment Opportunities (Percentile),All Traffic Accidents (Percentile),Asthma Prevalence,Asthma Prevalence (Percentile),Auto Insurance Premium (Percentile),Availability of Parks & Public Open Space per Population (Percentile),Availability of Weighted Bikeways per Population (Percentile),Average Commute VMT (Percentile),Average Travel Time to Work (Minutes),Average VMT per Household (Percentile),Cardiovascular Disease (Percentile),Cardiovascular Disease Prevalence,High-Quality Transit Locations (Percentile),Housing Unit Density (Percentile),Housing Unit Density (sqmi),Job Density (Percentile),Job Density (sqmi),Jobs-Housing Fit (Percentile),Largest Ethnoracial Group,Lending Barriers (Percentile),Life Expectancy at Birth,Median Household Income,"Neighborhood Change, Housing Variables (Percentile)","Neighborhood Change, Socioeconomic Variables (Percentile)",Newer Clean Vehicles (Percentile),Older Clean Vehicles (Percentile),Primary Care Shortage Areas,Total Housing Units,Total Occupied Housing Units,Vehicles per Household,Walkability Index,Walkability Index (Percentile),x,y
6037237102,Los Angeles,3357,0.33,15.22,83.59,0.45,0,0.24,30.92,Yes,SCAG,Yes,01. 0-60%,0.1775931,18902.76,90 to 100,2.41,12.93,70.44,30.71,70 to 80,38.03,22.55,35.76,25.71,29.99,12.61,70.01,64.24,0.16,41.79,90 to 100,90 to 100,79.82,80 to 90,90 to 100,0 to 10,3,10 to 20,35.68,20 to 30,60 to 70,9.18,9,80 to 90,5574.54,50 to 60,1480.91,0 to 10,Hispanic,90 to 100,85.3,35123,40 to 50,80 to 90,0 to 10,0 to 10,Yes,990,927,1.44,12.98,50 to 60,,
6037237201,Los Angeles,3582,0.87,28.5,68.34,1.68,0,0.98,19.85,Yes,SCAG,Yes,02. 60-80%,0.175061,20461.44,90 to 100,0.62,12.62,77.67,22.73,80 to 90,37.07,8.53,14.12,12.9,49.41,8.66,50.59,85.88,0.43,26.72,90 to 100,90 to 100,96.41,90 to 100,90 to 100,20 to 30,0,20 to 30,38.36,60 to 70,60 to 70,8.89,9,80 to 90,6026.47,50 to 60,1199.58,0 to 10,Hispanic,70 to 80,79.7,45147,20 to 30,70 to 80,0 to 10,0 to 10,Yes,1055,1020,1.87,14.36,70 to 80,,
6037237202,Los Angeles,4593,2.85,34.42,62.62,1.65,0.48,0,21.7,Yes,SCAG,Yes,02. 60-80%,0.4278174,10735.89,70 to 80,0,6.07,80.83,26.36,80 to 90,39.42,23.39,28.61,20.11,45.28,5.6,54.72,69.87,2.8,35.31,90 to 100,90 to 100,137.25,90 to 100,80 to 90,20 to 30,0,10 to 20,35.23,30 to 40,80 to 90,10.85,9,60 to 70,3235.03,80 to 90,4153.64,0 to 10,Hispanic,80 to 90,78.6,35733,70 to 80,60 to 70,20 to 30,10 to 20,Yes,1384,1334,1.44,15.18,80 to 90,,
6037237300,Los Angeles,5387,2.32,54.97,42.19,0.65,0,0.19,20.07,Yes,SCAG,Yes,01. 0-60%,0.3852107,13984.55,80 to 90,0,16.99,74.65,20.7,60 to 70,39.62,20.51,24.19,8.09,48.12,4.1,51.88,75.81,2.73,26.3,90 to 100,90 to 100,140.42,90 to 100,80 to 90,10 to 20,0,10 to 20,34.72,10 to 20,80 to 90,11.11,8,80 to 90,5194.56,30 to 40,576.31,0 to 10,Black,80 to 90,76,34784,40 to 50,20 to 30,20 to 30,10 to 20,Yes,2001,1945,1.6,15.11,80 to 90,,
6037237401,Los Angeles,4086,1.03,24.06,74.3,0,0,0.73,35.05,Yes,SCAG,Yes,01. 0-60%,0.1992712,20504.72,90 to 100,0,7.14,83.67,24.49,60 to 70,41.43,10.71,16.8,14.78,45.53,6.6,54.47,82.58,0,30.86,90 to 100,80 to 90,115.42,90 to 100,90 to 100,0 to 10,1,20 to 30,34.14,60 to 70,80 to 90,12.3,9,80 to 90,5675.68,30 to 40,772.82,0 to 10,Hispanic,90 to 100,74.1,38625,10 to 20,40 to 50,10 to 20,10 to 20,Yes,1131,1074,1.78,13.94,60 to 70,,
6037237402,Los Angeles,3234,1.39,33.98,58.84,0,0,0,18.8,Yes,SCAG,Yes,01. 0-60%,0.201248,16069.72,80 to 90,1.13,12.71,78.42,23.34,70 to 80,33.65,11.12,21.54,14.5,63.5,4.83,36.5,76.85,0.4,21.15,90 to 100,90 to 100,96.49,90 to 100,80 to 90,10 to 20,0,20 to 30,32.19,40 to 50,60 to 70,8.84,9,80 to 90,5237.32,40 to 50,854.67,0 to 10,Hispanic,80 to 90,78.5,39306,40 to 50,80 to 90,20 to 30,20 to 30,Yes,1054,989,1.89,14.27,70 to 80,,
6037237500,Los Angeles,2990,1.07,24.68,74.08,0.03,0,2.07,28.03,Yes,SCAG,Yes,01. 0-60%,0.1302435,22957,90 to 100,0,10.64,71.76,24.91,80 to 90,34.97,17.53,57.65,16.98,18.79,15.19,81.21,42.35,1.12,48.42,90 to 100,90 to 100,115.42,90 to 100,90 to 100,0 to 10,4,10 to 20,38.45,10 to 20,80 to 90,12.3,9,90 to 100,6925.49,50 to 60,1573.97,0 to 10,Hispanic,70 to 80,80,33040,50 to 60,10 to 20,20 to 30,20 to 30,Yes,902,873,1.26,15.23,80 to 90,,
6037237600,Los Angeles,3902,0.82,21.25,77.24,1.05,0,1.15,28.78,Yes,SCAG,Yes,01. 0-60%,0.1944959,20062.12,90 to 100,0,19.43,62.86,39.34,80 to 90,24.96,20.67,43.73,21.76,26.47,16.25,73.53,56.27,1.46,34.03,90 to 100,90 to 100,90.39,80 to 90,90 to 100,0 to 10,2,10 to 20,35.06,20 to 30,70 to 80,10.05,9,80 to 90,6432.01,60 to 70,2221.13,0 to 10,Hispanic,80 to 90,77.4,32438,20 to 30,60 to 70,0 to 10,0 to 10,Yes,1251,1190,1.59,14.71,70 to 80,,
6037237710,Los Angeles,4248,0.54,14.48,81.92,0.99,0,0.33,32.11,Yes,SCAG,Yes,01. 0-60%,0.1669046,25451.67,90 to 100,0,12.02,69.87,20.46,80 to 90,38.83,12.53,47.45,19.66,14.48,17.13,85.52,52.55,0.98,46.87,90 to 100,90 to 100,72.35,80 to 90,90 to 100,0 to 10,2,30 to 40,37.21,30 to 40,50 to 60,8.38,9,90 to 100,6944.09,70 to 80,2546.36,0 to 10,Hispanic,90 to 100,73.7,35262,70 to 80,50 to 60,0 to 10,10 to 20,Yes,1159,1077,1.57,13.68,60 to 70,,
6037237720,Los Angeles,3753,2.08,22.44,74.71,0,0,0.05,46.37,Yes,SCAG,Yes,01. 0-60%,0.1255701,29887.69,90 to 100,0,20.63,58.27,27.39,90 to 100,45.33,21.93,44.57,15.75,16.87,20.63,83.13,55.43,0.47,53.98,90 to 100,80 to 90,66.49,70 to 80,90 to 100,0 to 10,4,10 to 20,35.97,10 to 20,40 to 50,7.92,9,90 to 100,7485.86,50 to 60,1536.99,0 to 10,Hispanic,60 to 70,74.2,32077,40 to 50,80 to 90,20 to 30,10 to 20,Yes,940,889,1.43,12.49,50 to 60,,
